Unnamed: 0,sj,fl_e,fl_n,fl_s,fl_w,label
#GS008,2018/1/1 0:00,479,304,167,364,1314
#GS007,2018/1/1 0:00,84,419,248,92,843
#GS035,2018/1/1 0:00,0,481,336,261,1078
#GS006,2018/1/1 0:00,112,541,362,165,1180
#GS008,2018/1/1 10:00,772,667,440,746,2625
#GS006,2018/1/1 10:00,365,942,638,474,2419
#GS007,2018/1/1 10:00,335,740,606,214,1895
#GS035,2018/1/1 10:00,0,894,555,639,2088
#GS008,2018/1/1 11:00,1035,705,731,808,3279
#GS006,2018/1/1 11:00,363,874,770,520,2527
#GS007,2018/1/1 11:00,366,849,463,258,1936
#GS035,2018/1/1 11:00,0,1056,608,657,2321
#GS035,2018/1/1 12:00,0,1109,617,634,2360
#GS006,2018/1/1 12:00,338,931,706,525,2500
#GS007,2018/1/1 12:00,430,837,616,249,2132
#GS008,2018/1/1 12:00,1167,762,790,869,3588
#GS006,2018/1/1 13:00,411,997,858,581,2847
#GS007,2018/1/1 13:00,439,899,565,260,2163
#GS035,2018/1/1 13:00,0,1152,606,745,2503
#GS008,2018/1/1 13:00,1205,795,873,989,3862
#GS007,2018/1/1 14:00,425,957,777,232,2391
#GS008,2018/1/1 14:00,1393,843,888,976,4100
#GS006,2018/1/1 14:00,402,1035,864,601,2902
#GS035,2018/1/1 14:00,0,1282,659,701,2642
#GS008,2018/1/1 15:00,1309,803,750,1064,3926
#GS007,2018/1/1 15:00,407,956,731,244,2338
#GS006,2018/1/1 15:00,398,1059,798,628,2883
#GS035,2018/1/1 15:00,0,1303,731,696,2730
#GS008,2018/1/1 16:00,1455,969,699,1102,4225
#GS006,2018/1/1 16:00,409,1112,881,703,3105
#GS007,2018/1/1 16:00,479,960,819,277,2535
#GS035,2018/1/1 16:00,0,1480,731,797,3008
#GS008,2018/1/1 17:00,1243,922,482,887,4112
#GS006,2018/1/1 17:00,359,1345,823,638,3065
#GS007,2018/1/1 17:00,368,1075,517,237,2329
#GS035,2018/1/1 17:00,0,1431,686,701,3034
#GS035,2018/1/1 18:00,0,1431,686,701,2818
#GS006,2018/1/1 18:00,359,1345,823,638,3165
#GS008,2018/1/1 18:00,1243,922,482,887,3534
#GS007,2018/1/1 18:00,368,1075,517,237,2197
#GS008,2018/1/1 19:00,1022,732,399,861,3014
#GS007,2018/1/1 19:00,274,830,579,215,1898
#GS006,2018/1/1 19:00,234,1071,738,563,2606
#GS035,2018/1/1 19:00,0,1208,624,622,2454
#GS006,2018/1/1 1:00,96,395,319,127,937
#GS007,2018/1/1 1:00,46,331,243,84,704
#GS035,2018/1/1 1:00,0,335,237,190,762
#GS008,2018/1/1 1:00,436,219,169,258,1082
#GS008,2018/1/1 20:00,1115,750,441,810,3116
#GS007,2018/1/1 20:00,306,878,590,187,1961
#GS006,2018/1/1 20:00,260,1073,769,492,2594
#GS035,2018/1/1 20:00,0,904,516,536,1956
#GS007,2018/1/1 21:00,288,509,513,187,1497
#GS006,2018/1/1 21:00,214,943,684,402,2243
#GS008,2018/1/1 21:00,1063,585,389,789,2826
#GS035,2018/1/1 21:00,0,653,404,371,1428
#GS007,2018/1/1 22:00,192,434,393,139,1158
#GS006,2018/1/1 22:00,161,747,557,288,1753
#GS008,2018/1/1 22:00,786,273,280,510,1849
#GS035,2018/1/1 22:00,0,522,357,343,1222
#GS035,2018/1/1 23:00,0,396,238,210,844
#GS007,2018/1/1 23:00,161,250,248,89,748
#GS006,2018/1/1 23:00,116,481,384,210,1191
#GS008,2018/1/1 23:00,474,307,165,373,1319
#GS007,2018/1/1 2:00,28,246,142,39,455
#GS006,2018/1/1 2:00,41,275,203,103,622
#GS035,2018/1/1 2:00,0,266,169,141,576
#GS008,2018/1/1 2:00,259,134,102,177,672
#GS035,2018/1/1 3:00,0,191,122,117,430
#GS008,2018/1/1 3:00,181,100,72,84,437
#GS006,2018/1/1 3:00,42,184,173,72,471
#GS007,2018/1/1 3:00,18,160,126,37,341
#GS006,2018/1/1 4:00,27,121,93,39,280
#GS035,2018/1/1 4:00,0,154,85,83,322
#GS007,2018/1/1 4:00,12,116,73,16,217
#GS008,2018/1/1 4:00,129,93,34,79,335
#GS035,2018/1/1 5:00,0,143,86,65,294
#GS007,2018/1/1 5:00,17,89,54,42,202
#GS006,2018/1/1 5:00,23,84,90,51,248
#GS008,2018/1/1 5:00,111,62,41,87,301
#GS006,2018/1/1 6:00,47,131,114,75,367
#GS007,2018/1/1 6:00,73,113,98,22,306
#GS008,2018/1/1 6:00,157,107,70,99,433
#GS035,2018/1/1 6:00,0,167,105,134,406
#GS007,2018/1/1 7:00,211,287,257,78,833
#GS008,2018/1/1 7:00,342,284,188,328,1142
#GS006,2018/1/1 7:00,123,386,322,200,1031
#GS035,2018/1/1 7:00,0,369,261,266,896
#GS035,2018/1/1 8:00,0,637,431,495,1563
#GS007,2018/1/1 8:00,302,538,436,190,1466
#GS006,2018/1/1 8:00,282,660,574,306,1822
#GS008,2018/1/1 8:00,720,477,394,566,2157
#GS007,2018/1/1 9:00,349,675,577,232,1833
#GS035,2018/1/1 9:00,0,834,507,635,1976
#GS006,2018/1/1 9:00,348,832,716,405,2301
#GS008,2018/1/1 9:00,818,618,497,648,2581
#GS035,2018/1/2 0:00,0,235,166,151,552
#GS007,2018/1/2 0:00,63,175,150,54,442
#GS006,2018/1/2 0:00,63,301,213,113,690
#GS008,2018/1/2 0:00,320,173,93,201,787
#GS035,2018/1/2 10:00,0,1335,724,783,2842
#GS006,2018/1/2 10:00,591,1075,1347,642,3655
#GS008,2018/1/2 10:00,1162,974,1106,917,4159
#GS007,2018/1/2 10:00,605,1167,636,368,2776
#GS035,2018/1/2 11:00,0,1219,641,672,2532
#GS007,2018/1/2 11:00,547,1016,671,287,2521
#GS008,2018/1/2 11:00,1257,866,915,981,4019
#GS006,2018/1/2 11:00,646,1380,1238,626,3890
#GS008,2018/1/2 12:00,1156,921,951,1015,4043
#GS007,2018/1/2 12:00,557,1045,738,295,2635
#GS035,2018/1/2 12:00,0,1246,658,709,2613
#GS006,2018/1/2 12:00,624,1419,1239,641,3923
#GS035,2018/1/2 13:00,0,1190,674,766,2630
#GS007,2018/1/2 13:00,555,1040,756,329,2680
#GS008,2018/1/2 13:00,1157,883,999,1005,4044
#GS006,2018/1/2 13:00,623,1492,1282,656,4053
#GS008,2018/1/2 14:00,1259,927,1007,993,4186
#GS007,2018/1/2 14:00,498,1125,759,322,2704
#GS035,2018/1/2 14:00,0,1275,722,740,2737
#GS006,2018/1/2 14:00,643,1545,1287,691,4166
#GS035,2018/1/2 15:00,0,1245,783,731,2759
#GS007,2018/1/2 15:00,541,1119,956,315,2931
#GS008,2018/1/2 15:00,1325,966,860,1003,4154
#GS006,2018/1/2 15:00,605,1466,1327,709,4107
#GS035,2018/1/2 16:00,0,1443,866,733,3042
#GS007,2018/1/2 16:00,546,1178,981,313,3018
#GS008,2018/1/2 16:00,1306,1151,694,1036,4187
#GS006,2018/1/2 16:00,729,1403,1397,739,4268
#GS007,2018/1/2 17:00,742,1235,730,374,3430
#GS035,2018/1/2 17:00,0,1573,781,620,3114
#GS006,2018/1/2 17:00,539,1524,1258,721,4912
#GS008,2018/1/2 17:00,1513,1365,422,1143,4497
#GS006,2018/1/2 18:00,539,1524,1258,721,4042
#GS035,2018/1/2 18:00,0,1573,781,620,2974
#GS008,2018/1/2 18:00,1513,1365,422,1143,4443
#GS007,2018/1/2 18:00,742,1235,730,374,3081
#GS035,2018/1/2 19:00,0,983,458,342,1783
#GS006,2018/1/2 19:00,155,1181,915,524,2775
#GS008,2018/1/2 19:00,1210,1011,347,880,3448
#GS007,2018/1/2 19:00,362,996,586,257,2201
#GS007,2018/1/2 1:00,23,163,96,34,316
#GS008,2018/1/2 1:00,168,118,55,117,458
#GS006,2018/1/2 1:00,34,203,176,66,479
#GS035,2018/1/2 1:00,0,180,128,85,393
#GS035,2018/1/2 20:00,0,709,357,370,1436
#GS007,2018/1/2 20:00,266,784,520,266,1836
#GS008,2018/1/2 20:00,893,768,304,689,2654
#GS006,2018/1/2 20:00,118,1015,803,428,2364
#GS006,2018/1/2 21:00,72,867,705,322,1966
#GS035,2018/1/2 21:00,0,593,338,365,1296
#GS007,2018/1/2 21:00,253,670,331,188,1442
#GS008,2018/1/2 21:00,754,572,311,613,2250
#GS035,2018/1/2 22:00,0,474,241,281,996
#GS008,2018/1/2 22:00,504,346,117,308,1275
#GS006,2018/1/2 22:00,66,626,508,199,1399
#GS007,2018/1/2 22:00,198,488,229,151,1066
#GS035,2018/1/2 23:00,0,372,192,192,756
#GS006,2018/1/2 23:00,41,466,349,170,1026
#GS008,2018/1/2 23:00,394,305,164,303,1166
#GS007,2018/1/2 23:00,154,338,218,90,800
#GS007,2018/1/2 2:00,22,65,46,18,151
#GS035,2018/1/2 2:00,0,125,66,61,252
#GS008,2018/1/2 2:00,136,44,34,74,288
#GS006,2018/1/2 2:00,20,83,82,41,226
#GS006,2018/1/2 3:00,12,68,62,35,177
#GS007,2018/1/2 3:00,12,68,33,22,135
#GS035,2018/1/2 3:00,0,96,49,46,191
#GS008,2018/1/2 3:00,80,47,22,35,184
#GS008,2018/1/2 4:00,54,29,18,34,135
#GS006,2018/1/2 4:00,13,52,45,23,133
#GS035,2018/1/2 4:00,0,59,36,36,131
#GS007,2018/1/2 4:00,8,51,26,12,97
#GS035,2018/1/2 5:00,0,82,65,38,185
#GS008,2018/1/2 5:00,51,66,32,66,215
#GS006,2018/1/2 5:00,20,77,45,38,180
#GS007,2018/1/2 5:00,11,75,41,22,149
#GS007,2018/1/2 6:00,144,150,124,60,478
#GS035,2018/1/2 6:00,0,238,180,163,581
#GS006,2018/1/2 6:00,73,187,173,115,548
#GS008,2018/1/2 6:00,292,141,108,263,804
#GS035,2018/1/2 7:00,0,789,904,1039,2732
#GS007,2018/1/2 7:00,529,785,563,427,2304
