,point_number,date,flow_all,flow_e_l,flow_e_s,flow_e_r,flow_w_l,flow_w_s,flow_w_r,flow_s_l,flow_s_s,flow_s_r,flow_n_l,flow_n_s,flow_n_r,flow_e,flow_w,flow_s,flow_n
0,#GS004,2019-09-01,956.0,50.0,118.0,0.0,56.0,132.0,84.0,79.0,177.0,2.0,64.0,194.0,0.0,168.0,272.0,258.0,258.0
0,#GS005,2019-09-01,137.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,27.0,0.0,22.0,74.0,0.0,0.0,41.0,97.0
0,#GS006,2019-09-01,631.0,21.0,89.0,51.0,57.0,76.0,12.0,22.0,122.0,0.0,34.0,98.0,48.0,161.0,146.0,144.0,180.0
0,#GS007,2019-09-01,351.0,0.0,16.0,33.0,7.0,0.0,0.0,10.0,115.0,0.0,28.0,132.0,9.0,50.0,7.0,125.0,169.0
0,#GS008,2019-09-01,226.0,0.0,0.0,29.0,0.0,0.0,59.0,0.0,66.0,51.0,0.0,0.0,20.0,29.0,59.0,117.0,20.0
0,#GS009,2019-09-01,1017.0,0.0,306.0,0.0,0.0,243.0,0.0,0.0,235.0,0.0,0.0,234.0,0.0,306.0,243.0,235.0,234.0
0,#GS010,2019-09-01,1017.0,50.0,198.0,0.0,67.0,137.0,36.0,0.0,146.0,0.0,80.0,272.0,30.0,248.0,240.0,146.0,382.0
0,#GS011,2019-09-01,555.0,0.0,246.0,17.0,0.0,257.0,0.0,0.0,0.0,0.0,18.0,0.0,17.0,263.0,257.0,0.0,35.0
0,#GS017,2019-09-01,926.0,0.0,327.0,107.0,23.0,360.0,6.0,0.0,0.0,0.0,94.0,0.0,10.0,434.0,388.0,0.0,104.0
0,#GS024,2019-09-01,393.0,0.0,0.0,102.0,0.0,0.0,83.0,0.0,0.0,155.0,0.0,26.0,27.0,102.0,83.0,155.0,53.0
0,#GS031,2019-09-01,228.0,12.0,170.0,35.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,9.0,1.0,0.0
0,#GS033,2019-09-01,508.0,0.0,141.0,94.0,20.0,149.0,0.0,0.0,0.0,0.0,69.0,0.0,35.0,235.0,169.0,0.0,104.0
0,#GS035,2019-09-01,482.0,0.0,0.0,0.0,117.0,0.0,39.0,71.0,46.0,21.0,94.0,94.0,0.0,0.0,156.0,137.0,188.0
