,point_number,date,flow_all,flow_e_l,flow_e_s,flow_e_r,flow_w_l,flow_w_s,flow_w_r,flow_s_l,flow_s_s,flow_s_r,flow_n_l,flow_n_s,flow_n_r,flow_e,flow_w,flow_s,flow_n
0,#GS005,2020-03-03,694.0,79.0,230.0,0.0,64.0,114.0,0.0,16.0,106.0,33.0,0.0,11.0,40.0,309.0,178.0,156.0,50.0
0,#GS006,2020-03-03,39.0,0.0,0.0,0.0,0.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
0,#GS008,2020-03-03,189.0,0.0,0.0,35.0,0.0,0.0,51.0,0.0,78.0,8.0,0.0,3.0,14.0,35.0,51.0,86.0,17.0
0,#GS009,2020-03-03,731.0,0.0,264.0,0.0,0.0,140.0,0.0,0.0,152.0,0.0,0.0,175.0,0.0,264.0,140.0,152.0,175.0
0,#GS010,2020-03-03,919.0,44.0,219.0,82.0,36.0,96.0,30.0,57.0,122.0,0.0,29.0,201.0,1.0,346.0,163.0,179.0,231.0
0,#GS011,2020-03-03,452.0,0.0,175.0,31.0,0.0,205.0,0.0,0.0,0.0,0.0,21.0,0.0,20.0,206.0,205.0,0.0,41.0
0,#GS017,2020-03-03,743.0,0.0,287.0,66.0,11.0,288.0,1.0,0.0,0.0,0.0,83.0,0.0,6.0,353.0,300.0,0.0,90.0
0,#GS024,2020-03-03,256.0,0.0,0.0,68.0,0.0,0.0,52.0,0.0,0.0,110.0,0.0,13.0,13.0,68.0,52.0,110.0,26.0
0,#GS031,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,#GS033,2020-03-03,84.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
0,#GS035,2020-03-03,363.0,0.0,0.0,0.0,89.0,0.0,35.0,46.0,39.0,20.0,55.0,78.0,0.0,0.0,124.0,106.0,133.0
